loan_id,date,customer_age,total_paid,total_due_today,balance,days_past_due,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d
recshsSkaJzHP663H,3/31/2025,246,9900,58179.0,70359.0,239,70359.0,0.0,-48279.0,48279.0,Arrears,0,0.0,0,0,First Payment Default,FPD,None,7/28/2024,Y LOAN,,,0,8499.0,1380.0,8/4/2024,4/6/2025,0.0,0.0,7/28/2024,9879,9900
rec3WeGAgR8E7ai5J,3/31/2025,233,65280,123479.0,107159.0,149,107159.0,0.0,-58199.0,58199.0,Arrears,0,0.0,0,0,Cancelled Returned past 3 mths,Return,2/13/2025,8/10/2024,Y LOAN,,,0,30999.0,2720.0,11/2/2024,4/5/2025,0.0,0.0,1/24/2025,33719,65280
recAvwoRHSCytDGyv,3/31/2025,572,106999,106999.0,0.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,None,9/6/2023,Y LOAN,,,0,15999.0,1750.0,9/4/2024,4/2/2025,0.0,0.0,8/10/2024,17749,106999
recXY01XbbKZhLt42,3/31/2025,104,23399,23399.0,40700.0,0,40700.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,12/17/2024,Y LOAN,,,0,6899.0,1100.0,4/1/2025,4/1/2025,0.0,0.0,10/14/2025,7999,23399
reciFeQteqkuTsQnC,3/31/2025,285,35029,54239.0,31750.0,117,31750.0,0.0,-19210.0,19210.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,6/19/2024,Y LOAN,,,0,7499.0,1140.0,12/4/2024,4/2/2025,0.0,0.0,12/4/2024,8639,35029
recVM1aj5WpWXTn2A,3/31/2025,226,39879,45779.0,27840.0,30,27840.0,0.0,-5800.0,5800.0,Arrears,0,0.0,0,0,Inactive 15-30,PAR 7,None,8/17/2024,Y LOAN,,,0,7499.0,1160.0,3/1/2025,4/5/2025,0.0,0.0,2/27/2025,8659,39979
recwTquJZbvkaTCnL,3/31/2025,224,28499,42639.0,34560.0,84,34560.0,0.0,-14040.0,14040.0,Arrears,0,1080.0,0,0,Blocked 61-90,PAR 30,None,8/19/2024,Y LOAN,,,0,6999.0,1080.0,1/6/2025,4/7/2025,0.0,0.0,12/22/2025,8079,28599
recfkxQ2DuCs5In34,3/31/2025,240,8079,44799.0,55080.0,233,55080.0,0.0,-36720.0,36720.0,Arrears,0,0.0,0,0,First Payment Default,FPD,None,8/3/2024,Y LOAN,,,0,6999.0,1080.0,8/10/2024,4/5/2025,0.0,0.0,8/3/2024,8079,8079
recdt7CH6uRxc5nW6,3/31/2025,6,18499,11999.0,76120.0,0,76120.0,6500.0,6500.0,0.0,advance,0,0.0,0,0,New Active,Active,None,3/25/2025,Y LOAN,,,0,10379.0,1620.0,4/29/2025,4/1/2025,0.0,0.0,7/31/2025,11999,18499
rec25DnSRBE6fioS7,3/31/2025,275,38479,53899.0,29340.0,93,29340.0,0.0,-15420.0,15420.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,6/29/2024,Y LOAN,,,0,7499.0,1160.0,12/28/2024,4/5/2025,0.0,0.0,9/2/2025,8659,38479
recAElmlbkhpUGJKm,3/31/2025,237,27180,28199.0,13619.0,0,0.0,0.0,-1019.0,1019.0,Arrears,0,0.0,0,0,Existing Active,Active,None,8/6/2024,Y LOAN,,,0,4399.0,700.0,3/18/2025,4/1/2025,0.0,0.0,7/29/2025,5099,27180
